"pathway","overlap","pvalue","padj"
"KEGG_OLFACTORY_TRANSDUCTION",4,8.55307003883275e-33,1.29151357586375e-30
"KEGG_ECM_RECEPTOR_INTERACTION",40,2.30674478366406e-08,1.16494604107392e-06
"KEGG_SPLICEOSOME",4,2.31446233325944e-08,1.16494604107392e-06
"KEGG_OXIDATIVE_PHOSPHORYLATION",7,1.23313020900658e-06,4.65506653899986e-05
"KEGG_HUNTINGTONS_DISEASE",14,2.98760063372492e-06,9.02255391384926e-05
"KEGG_ALZHEIMERS_DISEASE",13,1.09008372548644e-05,0.000274337737580755
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",10,5.59565489535407e-05,0.00120706269885495
"KEGG_PARKINSONS_DISEASE",10,7.71421765470099e-05,0.00145605858232481
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",12,0.000199840891654085,0.0033528860710852
"KEGG_FOCAL_ADHESION",62,0.000261271709228075,0.00394520280934393
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",9,0.000569480640802931,0.00781741606920387
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",28,0.000681496417330355,0.0085754965847403
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",8,0.000777596428043731,0.00903208158727719
"KEGG_CELL_CYCLE",41,0.001083082285776,0.0116818160822983
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",12,0.0016893296892712,0.0170059188719968
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",5,0.00293526646334262,0.027701577247796
"KEGG_DNA_REPLICATION",15,0.00316154684300854,0.0280819748996641
"KEGG_PEROXISOME",6,0.00426697527411576,0.0357951814661933
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",74,0.00454209402092026,0.0360976945873136
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",3,0.005457748917263,0.0392438136431768
"KEGG_INSULIN_SIGNALING_PATHWAY",15,0.00525602088233301,0.0392438136431768
"KEGG_SMALL_CELL_LUNG_CANCER",28,0.00594973939041287,0.0408368476341974
"KEGG_LYSOSOME",13,0.00638127215413506,0.0418944389249737
"KEGG_DILATED_CARDIOMYOPATHY",29,0.00805557985050424,0.0506830232260892
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",7,0.0107920336331444,0.0651838831441922
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",4,0.0116587329151324,0.0677103334686537
"KEGG_N_GLYCAN_BIOSYNTHESIS",3,0.0162305795366866,0.0907710188903581
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",26,0.0190939212090086,0.102970789377153
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",4,0.0230197999078977,0.113656660520239
"KEGG_LYSINE_DEGRADATION",3,0.0232897113125578,0.113656660520239
"KEGG_TASTE_TRANSDUCTION",4,0.0233334865968704,0.113656660520239
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",7,0.0264671722267861,0.124891968945147
"KEGG_ACUTE_MYELOID_LEUKEMIA",5,0.0307357685731565,0.125352427116874
"KEGG_APOPTOSIS",10,0.0336080271794292,0.125352427116874
"KEGG_CELL_ADHESION_MOLECULES_CAMS",38,0.0309767234299899,0.125352427116874
"KEGG_GLUTATHIONE_METABOLISM",4,0.0328049771135613,0.125352427116874
"KEGG_GNRH_SIGNALING_PATHWAY",12,0.0344312210096755,0.125352427116874
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",27,0.0355321926562566,0.125352427116874
"KEGG_JAK_STAT_SIGNALING_PATHWAY",21,0.0282732100703496,0.125352427116874
"KEGG_LONG_TERM_POTENTIATION",7,0.0356963865299706,0.125352427116874
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",7,0.0356963865299706,0.125352427116874
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",8,0.0317251347459033,0.125352427116874
"KEGG_VEGF_SIGNALING_PATHWAY",8,0.0317251347459033,0.125352427116874
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",22,0.037796958915913,0.129712290825065
"KEGG_ERBB_SIGNALING_PATHWAY",10,0.0440394150617252,0.147776703873789
"KEGG_PYRUVATE_METABOLISM",3,0.0473873531460988,0.152244475001296
"KEGG_SPHINGOLIPID_METABOLISM",3,0.0471824253610606,0.152244475001296
"KEGG_MTOR_SIGNALING_PATHWAY",5,0.057160079061377,0.172623438765359
"KEGG_PRIMARY_IMMUNODEFICIENCY",12,0.055438132258931,0.172623438765359
"KEGG_STARCH_AND_SUCROSE_METABOLISM",5,0.057160079061377,0.172623438765359
"KEGG_AXON_GUIDANCE",35,0.0613775503545224,0.1812060369575
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",4,0.0624020789522515,0.1812060369575
"KEGG_LONG_TERM_DEPRESSION",8,0.0729474475742957,0.202793589156578
"KEGG_PURINE_METABOLISM",23,0.0738652145934555,0.202793589156578
"KEGG_RENAL_CELL_CARCINOMA",8,0.0729474475742957,0.202793589156578
"KEGG_GRAFT_VERSUS_HOST_DISEASE",5,0.077645559298777,0.209365704537774
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",6,0.0928602947829004,0.245998324775754
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",13,0.0995104305164781,0.259070258758417
"KEGG_MISMATCH_REPAIR",8,0.114237327341447,0.29237010895862
"KEGG_ENDOMETRIAL_CANCER",6,0.122969364324954,0.295033788706432
"KEGG_GLIOMA",8,0.122502062992924,0.295033788706432
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",6,0.125047433623918,0.295033788706432
"KEGG_NON_SMALL_CELL_LUNG_CANCER",6,0.125047433623918,0.295033788706432
"KEGG_VIBRIO_CHOLERAE_INFECTION",6,0.125047433623918,0.295033788706432
"KEGG_PROPANOATE_METABOLISM",3,0.130235321469672,0.3025466698757
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",3,0.132283905892734,0.302649542269739
"KEGG_TGF_BETA_SIGNALING_PATHWAY",23,0.14037238390409,0.316361641336084
"KEGG_PATHWAYS_IN_CANCER",77,0.143737896679014,0.316610558753002
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",52,0.144676348039451,0.316610558753002
"KEGG_GAP_JUNCTION",24,0.147709706027322,0.318630937287509
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",8,0.157539043207823,0.334321660678785
"KEGG_RETINOL_METABOLISM",8,0.15941165277399,0.334321660678785
"KEGG_PYRIMIDINE_METABOLISM",14,0.165121468721323,0.341552627081093
"KEGG_ABC_TRANSPORTERS",5,0.187291804363114,0.377080832784403
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",5,0.187291804363114,0.377080832784403
"KEGG_CARDIAC_MUSCLE_CONTRACTION",11,0.205739654642468,0.408772208565957
"KEGG_GLYCEROLIPID_METABOLISM",6,0.211794663333987,0.415337586538078
"KEGG_AUTOIMMUNE_THYROID_DISEASE",7,0.234460015614542,0.448145093136656
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",18,0.231808163392488,0.448145093136656
"KEGG_FATTY_ACID_METABOLISM",5,0.247232500086756,0.460890216211114
"KEGG_TYROSINE_METABOLISM",5,0.247232500086756,0.460890216211114
"KEGG_ARACHIDONIC_ACID_METABOLISM",8,0.254137309232774,0.467984557245719
"KEGG_NOTCH_SIGNALING_PATHWAY",6,0.274339380411901,0.499099354725266
"KEGG_REGULATION_OF_AUTOPHAGY",4,0.290414704620148,0.522055004733837
"KEGG_ALLOGRAFT_REJECTION",5,0.319575956580219,0.542173555484339
"KEGG_CHRONIC_MYELOID_LEUKEMIA",11,0.30865550702446,0.542173555484339
"KEGG_HEDGEHOG_SIGNALING_PATHWAY",8,0.319124778712983,0.542173555484339
"KEGG_MELANOGENESIS",16,0.320447921611725,0.542173555484339
"KEGG_SULFUR_METABOLISM",4,0.315165979264796,0.542173555484339
"KEGG_TRYPTOPHAN_METABOLISM",5,0.323149801282056,0.542173555484339
"KEGG_TIGHT_JUNCTION",22,0.32895883924658,0.545854777211359
"KEGG_GALACTOSE_METABOLISM",3,0.335922741952291,0.551351456899955
"KEGG_HOMOLOGOUS_RECOMBINATION",8,0.34396591234463,0.553466720548779
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",6,0.34862876156746,0.553466720548779
"KEGG_TYPE_I_DIABETES_MELLITUS",6,0.351872881938297,0.553466720548779
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",6,0.34862876156746,0.553466720548779
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",10,0.36027173107918,0.560835375185115
"KEGG_ASTHMA",4,0.378744606638439,0.571904356024043
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",7,0.377309128026764,0.571904356024043
"KEGG_VIRAL_MYOCARDITIS",11,0.377505572440029,0.571904356024043
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",14,0.404920490824038,0.605376179350789
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",6,0.445119944625466,0.658952074886719
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",3,0.451336280355583,0.661667750812554
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",7,0.461972352479497,0.670748319465424
"KEGG_FOLATE_BIOSYNTHESIS",3,0.475882605703935,0.684364509155183
"KEGG_BASAL_CELL_CARCINOMA",13,0.505517217269422,0.720123583091346
"KEGG_ENDOCYTOSIS",33,0.516440970998322,0.728809220754641
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",10,0.526687382123715,0.736386987969268
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",19,0.549061803854231,0.760626902587054
"KEGG_ADHERENS_JUNCTION",17,0.559333647447121,0.767812552404685
"KEGG_BLADDER_CANCER",10,0.56572554761811,0.768135552987485
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",13,0.569742926719194,0.768135552987485
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",3,0.598784893518188,0.786230599315186
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",5,0.598595849098544,0.786230599315186
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",59,0.594408225025427,0.786230599315186
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",5,0.661383050633052,0.815352366352688
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",12,0.652924962337847,0.815352366352688
"KEGG_ETHER_LIPID_METABOLISM",5,0.664161199081991,0.815352366352688
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",21,0.643179586095571,0.815352366352688
"KEGG_MELANOMA",16,0.657407870449297,0.815352366352688
"KEGG_O_GLYCAN_BIOSYNTHESIS",7,0.651999782614378,0.815352366352688
"KEGG_PANCREATIC_CANCER",12,0.654761163605526,0.815352366352688
"KEGG_THYROID_CANCER",7,0.643428561960664,0.815352366352688
"KEGG_MAPK_SIGNALING_PATHWAY",52,0.759384423777603,0.906971544349956
"KEGG_P53_SIGNALING_PATHWAY",15,0.762358532056468,0.906971544349956
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",4,0.762817126704929,0.906971544349956
"KEGG_STEROID_BIOSYNTHESIS",4,0.762817126704929,0.906971544349956
"KEGG_CALCIUM_SIGNALING_PATHWAY",38,0.779221571510524,0.915957068347066
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",40,0.785882921852486,0.915957068347066
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",16,0.788572310497474,0.915957068347066
"KEGG_BASE_EXCISION_REPAIR",6,0.833522123942297,0.924594566140534
"KEGG_BUTANOATE_METABOLISM",6,0.832803218863701,0.924594566140534
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",4,0.803150097181343,0.924594566140534
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",7,0.822758522640115,0.924594566140534
"KEGG_HISTIDINE_METABOLISM",5,0.819780023473648,0.924594566140534
"KEGG_OOCYTE_MEIOSIS",24,0.814552052104382,0.924594566140534
"KEGG_WNT_SIGNALING_PATHWAY",29,0.838870566630815,0.924594566140534
"KEGG_ARGININE_AND_PROLINE_METABOLISM",10,0.866021725353136,0.947603482089301
"KEGG_LEISHMANIA_INFECTION",14,0.885029178310038,0.954567185177255
"KEGG_PPAR_SIGNALING_PATHWAY",13,0.881042192067634,0.954567185177255
"KEGG_PROSTATE_CANCER",17,0.894947794527784,0.958419269316989
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",8,1,1
"KEGG_COLORECTAL_CANCER",12,1,1
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",3,1,1
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",3,1,1
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",5,1,1
"KEGG_NITROGEN_METABOLISM",4,1,1
"KEGG_ONE_CARBON_POOL_BY_FOLATE",3,1,1
"KEGG_PRION_DISEASES",7,1,1
"KEGG_TYPE_II_DIABETES_MELLITUS",9,1,1
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",23,1,1
